Merge_Sort,Quick_Sort_Lomuto,Quick_Sort_Hoare
104.000, 57.000, 59.000
154.500, 82.250, 95.750
100.750, 45.000, 53.000
62.750, 36.000, 44.500
154.750, 72.250, 42.750
123.000, 65.500, 74.000
49.000, 29.000, 34.500
101.750, 66.750, 56.500
76.500, 36.000, 45.250
115.750, 54.750, 64.750
71.000, 31.500, 42.000
114.000, 91.000, 74.250
63.250, 29.000, 36.750
176.500, 196.250, 62.000
145.500, 63.000, 75.000
116.750, 55.250, 67.250
145.000, 69.500, 80.750
124.750, 84.000, 60.000
70.000, 31.750, 84.750
133.500, 67.250, 92.250
100.000, 60.000, 62.000
90.500, 75.000, 53.750
85.000, 40.000, 59.250
66.750, 27.000, 36.750
224.250, 50.500, 56.500
141.500, 59.750, 59.250
49.250, 26.250, 30.750
77.250, 47.500, 48.500
110.500, 52.750, 53.250
57.750, 26.000, 25.750
70.000, 34.250, 41.750
86.000, 47.000, 45.500
61.250, 29.750, 41.000
70.500, 37.250, 43.500
60.250, 31.500, 39.750
69.750, 34.250, 45.750
80.250, 41.250, 51.750
81.000, 44.500, 55.500
63.250, 31.500, 41.250
49.500, 26.500, 30.750
63.750, 33.250, 38.250
61.250, 36.500, 44.250
68.500, 35.250, 43.250
50.250, 34.250, 41.000
63.250, 30.250, 40.250
98.250, 62.250, 62.000
92.000, 37.500, 43.750
63.000, 32.750, 37.000
71.750, 35.250, 44.500
60.250, 33.250, 39.500
85.250, 38.250, 59.000
182.250, 86.750, 146.750
98.000, 48.500, 56.000
121.750, 32.000, 41.500
48.250, 26.000, 29.750
52.500, 26.750, 34.000
74.750, 42.500, 50.750
48.500, 25.500, 33.000
36.750, 18.750, 23.250
37.500, 19.500, 25.500
43.000, 21.500, 25.000
68.000, 35.250, 41.000
77.250, 56.250, 50.250
65.500, 37.750, 44.250
81.250, 46.750, 53.250
57.500, 30.000, 35.750
73.500, 38.750, 50.750
59.250, 29.250, 39.000
78.250, 42.750, 48.250
57.000, 30.750, 33.750
53.250, 36.250, 46.500
110.750, 40.250, 59.750
45.250, 24.000, 28.250
46.500, 24.500, 29.750
68.750, 34.500, 42.750
56.000, 32.500, 38.500
56.250, 31.000, 35.250
57.750, 30.250, 36.250
69.000, 37.750, 44.500
71.750, 42.500, 44.500
55.750, 30.500, 37.250
70.000, 37.000, 48.500
54.000, 29.250, 67.000
60.250, 33.250, 36.500
66.000, 35.500, 39.250
75.750, 44.750, 48.000
36.000, 18.750, 23.750
72.000, 39.750, 46.750
48.250, 25.250, 31.000
49.250, 24.000, 31.750
53.750, 32.250, 34.000
75.250, 40.000, 51.500
70.500, 36.750, 45.250
40.250, 21.750, 23.500
54.500, 28.250, 37.250
66.250, 35.000, 41.750
66.500, 36.000, 42.500
123.000, 93.000, 98.750
89.500, 51.000, 53.750
63.500, 32.250, 41.500
