(51.10, 25.70, 28.10)
(60.30, 31.20, 75.70)
(40.90, 23.20, 24.60)
(38.80, 21.60, 23.50)
(37.20, 20.00, 24.70)
(48.00, 26.40, 30.00)
(23.10, 11.80, 15.20)
(40.30, 21.60, 23.90)
(31.00, 15.30, 18.70)
(47.10, 24.40, 27.90)
(27.50, 14.30, 16.00)
(47.50, 23.30, 30.20)
(24.40, 12.50, 14.50)
(51.60, 25.90, 32.10)
(43.70, 23.00, 26.50)
(39.50, 21.20, 22.80)
(56.90, 27.30, 29.70)
(44.00, 22.90, 26.70)
(26.20, 13.40, 14.80)
(43.50, 22.80, 27.50)
(41.10, 20.40, 24.80)
(34.80, 21.50, 28.90)
(37.50, 21.00, 21.50)
(27.00, 15.70, 17.40)
(37.60, 21.20, 22.80)
(50.20, 24.70, 29.10)
(29.60, 16.30, 17.60)
(48.60, 24.90, 28.30)
(48.90, 26.30, 30.60)
(25.80, 14.50, 15.30)
(42.90, 22.10, 24.90)
(44.70, 23.80, 29.50)
(36.70, 23.70, 26.70)
(43.80, 32.50, 35.30)
(40.00, 19.80, 24.80)
(49.50, 33.20, 27.10)
(52.40, 26.30, 30.80)
(52.30, 27.80, 32.90)
(39.40, 20.70, 24.50)
(31.30, 17.20, 17.60)
(38.60, 19.80, 23.40)
(34.10, 27.30, 23.00)
(44.50, 23.50, 27.20)
(32.20, 15.90, 19.40)
(39.80, 20.30, 24.10)
(47.50, 25.70, 27.90)
(43.90, 21.30, 27.90)
(38.80, 20.40, 30.20)
(44.70, 24.10, 54.90)
(38.10, 19.30, 22.40)
(47.30, 23.90, 27.20)
(49.80, 25.40, 30.50)
(33.40, 18.60, 20.40)
(34.90, 18.30, 21.00)
(28.40, 13.90, 17.00)
(31.20, 14.60, 18.00)
(47.90, 25.70, 30.20)
(32.70, 15.30, 19.90)
(23.60, 11.80, 14.20)
(23.70, 11.90, 15.10)
(27.20, 13.50, 16.30)
(42.80, 22.80, 25.20)
(53.00, 27.30, 30.30)
(41.80, 20.20, 24.50)
(51.40, 28.10, 31.10)
(37.20, 18.20, 21.10)
(47.30, 25.30, 27.70)
(37.70, 17.80, 23.30)
(49.80, 25.90, 30.80)
(36.80, 19.20, 22.00)
(33.10, 18.00, 19.40)
(50.10, 26.90, 31.30)
(30.10, 14.40, 17.60)
(30.10, 19.30, 19.30)
(44.00, 21.10, 25.60)
(36.10, 18.50, 21.20)
(36.00, 19.00, 20.10)
(38.00, 19.30, 22.30)
(45.60, 25.00, 28.00)
(47.80, 23.90, 28.50)
(36.90, 20.30, 22.90)
(46.70, 28.40, 27.80)
(35.50, 19.30, 20.80)
(39.00, 18.40, 23.20)
(43.20, 21.20, 24.90)
(50.40, 25.60, 30.70)
(23.40, 11.90, 13.50)
(47.60, 25.40, 29.40)
(31.20, 15.60, 19.50)
(33.80, 14.20, 20.10)
(35.70, 20.90, 22.00)
(50.30, 26.60, 30.40)
(47.00, 23.70, 28.00)
(25.90, 13.00, 15.80)
(36.10, 17.50, 21.30)
(43.30, 22.20, 25.10)
(48.10, 23.60, 25.00)
(47.20, 24.00, 26.90)
(51.70, 28.80, 30.70)
(38.20, 21.20, 23.20)
