merge sort high-low price
purchases: 274. Price: 500
purchases: 706. Price: 495
purchases: 361. Price: 479
purchases: 648. Price: 474
purchases: 369. Price: 468
purchases: 779. Price: 460
purchases: 242. Price: 439
purchases: 550. Price: 431
purchases: 190. Price: 426
purchases: 664. Price: 412
purchases: 798. Price: 408
purchases: 394. Price: 402
purchases: 636. Price: 398
purchases: 451. Price: 397
purchases: 769. Price: 383
purchases: 149. Price: 359
purchases: 39. Price: 345
purchases: 596. Price: 333
purchases: 401. Price: 301
purchases: 867. Price: 295
purchases: 524. Price: 293
purchases: 562. Price: 290
purchases: 663. Price: 289
purchases: 329. Price: 288
purchases: 619. Price: 276
purchases: 612. Price: 273
purchases: 606. Price: 271
purchases: 551. Price: 254
purchases: 463. Price: 245
purchases: 84. Price: 243
purchases: 826. Price: 238
purchases: 155. Price: 232
purchases: 220. Price: 218
purchases: 131. Price: 215
purchases: 372. Price: 213
purchases: 610. Price: 198
purchases: 979. Price: 196
purchases: 581. Price: 160
purchases: 275. Price: 132
purchases: 156. Price: 115
purchases: 243. Price: 106
purchases: 349. Price: 92
purchases: 292. Price: 85
purchases: 43. Price: 72
purchases: 575. Price: 69
purchases: 223. Price: 66
purchases: 637. Price: 60
purchases: 78. Price: 24
purchases: 597. Price: 22
purchases: 394. Price: 10
lomuto sort high-low price
purchases: 274. Price: 500
purchases: 706. Price: 495
purchases: 361. Price: 479
purchases: 648. Price: 474
purchases: 369. Price: 468
purchases: 779. Price: 460
purchases: 242. Price: 439
purchases: 550. Price: 431
purchases: 190. Price: 426
purchases: 664. Price: 412
purchases: 798. Price: 408
purchases: 394. Price: 402
purchases: 636. Price: 398
purchases: 451. Price: 397
purchases: 769. Price: 383
purchases: 149. Price: 359
purchases: 39. Price: 345
purchases: 596. Price: 333
purchases: 401. Price: 301
purchases: 867. Price: 295
purchases: 524. Price: 293
purchases: 562. Price: 290
purchases: 663. Price: 289
purchases: 329. Price: 288
purchases: 619. Price: 276
purchases: 612. Price: 273
purchases: 606. Price: 271
purchases: 551. Price: 254
purchases: 463. Price: 245
purchases: 84. Price: 243
purchases: 826. Price: 238
purchases: 155. Price: 232
purchases: 220. Price: 218
purchases: 131. Price: 215
purchases: 372. Price: 213
purchases: 610. Price: 198
purchases: 979. Price: 196
purchases: 581. Price: 160
purchases: 275. Price: 132
purchases: 156. Price: 115
purchases: 243. Price: 106
purchases: 349. Price: 92
purchases: 292. Price: 85
purchases: 43. Price: 72
purchases: 575. Price: 69
purchases: 223. Price: 66
purchases: 637. Price: 60
purchases: 78. Price: 24
purchases: 597. Price: 22
purchases: 394. Price: 10
hoare sort high-low price
purchases: 274. Price: 500
purchases: 706. Price: 495
purchases: 361. Price: 479
purchases: 648. Price: 474
purchases: 369. Price: 468
purchases: 779. Price: 460
purchases: 242. Price: 439
purchases: 550. Price: 431
purchases: 190. Price: 426
purchases: 664. Price: 412
purchases: 798. Price: 408
purchases: 394. Price: 402
purchases: 636. Price: 398
purchases: 451. Price: 397
purchases: 769. Price: 383
purchases: 149. Price: 359
purchases: 39. Price: 345
purchases: 596. Price: 333
purchases: 401. Price: 301
purchases: 867. Price: 295
purchases: 524. Price: 293
purchases: 562. Price: 290
purchases: 663. Price: 289
purchases: 329. Price: 288
purchases: 619. Price: 276
purchases: 612. Price: 273
purchases: 606. Price: 271
purchases: 551. Price: 254
purchases: 463. Price: 245
purchases: 84. Price: 243
purchases: 826. Price: 238
purchases: 155. Price: 232
purchases: 220. Price: 218
purchases: 131. Price: 215
purchases: 372. Price: 213
purchases: 610. Price: 198
purchases: 979. Price: 196
purchases: 581. Price: 160
purchases: 275. Price: 132
purchases: 156. Price: 115
purchases: 243. Price: 106
purchases: 349. Price: 92
purchases: 292. Price: 85
purchases: 43. Price: 72
purchases: 575. Price: 69
purchases: 223. Price: 66
purchases: 637. Price: 60
purchases: 78. Price: 24
purchases: 597. Price: 22
purchases: 394. Price: 10
